code,party,turnout
NJ7,R,131935
NJ8,D,105041
NJ8,R,25621
NJ9,D,121236
NJ9,R,50499
NJ10,D,153712
NJ10,R,18301
NJ11,D,155916
NJ11,R,118547
NJ12,D,145274
NJ12,R,67389
NM1,D,144299
NM1,R,89062
NM2,R,94431
NM2,D,92459
NM3,D,154057
NM3,R,76043
NY1,R,130919
NY1,D,115795
NY2,R,122103
NY2,D,106996
NY3,D,145060
NY3,R,103278
NY4,D,149078
NY4,R,95187
NY5,,
NY6,D,103823
NY6,GP,10514
NY7,D,137444
NY7,,8107
NY8,D,166981
NY8,,9514
NY9,D,167199
NY9,R,19336
NY10,D,146749
NY10,R,33931
NY11,D,95458
NY11,R,84665
NY12,D,194974
NY12,R,27838
NY13,D,167667
NY13,R,9525
NY14,D,100044
NY14,R,17762
NY15,D,112798
NY15,R,4647
NY16,,
NY17,D,157275
NY17,,21640
NY18,D,118342
NY18,R,96594
NY19,D,122644
NY19,R,117029
NY20,D,163148
NY20,R,83788
NY21,R,122863
NY21,D,90526
NY22,D,117779
NY22,R,116357
NY23,R,122881
NY23,D,100495
NY24,R,129276
NY24,D,114102
NY25,D,149993
NY25,R,105925
NY26,D,157086
NY26,R,58128
NY27,R,132402
NY27,D,129594
NC1,D,188074
NC1,R,81486
NC2,R,167382
NC2,D,148959
NC3,,
NC4,D,242002
NC4,R,80546
NC5,R,158444
NC5,D,118558
NC6,R,159651
NC6,D,122323
NC7,R,155705
NC7,D,119606
NC8,R,140347
NC8,D,112971
NC9,R,138338
NC9,D,136478
NC10,R,164060
NC10,D,112386
NC11,R,177230
NC11,D,115824
NC12,D,202228
NC12,R,74639
NC13,R,145962
NC13,D,128764
NDAL,R,192733
NDAL,D,113891
OH1,R,151107
OH1,D,135467
OH2,R,163450
OH2,D,115777
OH3,D,174421
OH3,R,63470
OH4,R,164640
OH4,D,87061
OH5,R,173894
OH5,D,97352
OH6,R,169668
OH6,D,75196
OH7,R,150317
OH7,D,105105
OH8,R,170561
OH8,D,84738
OH9,D,152682
OH9,R,73183
OH10,R,153640
OH10,D,114699
OH11,D,197147
OH11,R,43443
OH12,R,171757
OH12,D,156863
OH13,D,149271
OH13,R,96225
OH14,R,166483
OH14,D,134059
OH15,R,166632
OH15,D,112546
OH16,R,166933
OH16,D,126736
OK1,R,149938
OK1,D,102878
OK2,R,140305
OK2,D,64958
OK3,R,172757
OK3,D,61095
OK4,R,149127
OK4,D,78022
OK5,D,121013
OK5,R,117725
OR1,D,184293
OR1,R,94784
OR2,R,203216
OR2,D,140954
OR3,D,244154
OR3,R,68105
OR4,D,204046
OR4,R,149616
OR5,D,176469
OR5,R,134720
LA1,R,192555
LA1,D,44273
LA2,D,190182
LA2,,20465
LA3,R,136876
LA3,D,43729
LA4,R,139326
LA4,D,72934
LA5,R,149018
LA5,D,67118
LA6,R,186553
LA6,D,55089
PA1,R,168841
PA1,D,160098
PA2,D,154771
PA2,R,41472
PA3,D,275418
PA3,R,19550
PA4,D,210216
PA4,R,121117
PA5,D,189957
PA5,R,101861
PA6,D,175516
PA6,R,122896
PA7,D,137122
PA7,R,111862
PA8,D,134519
PA8,R,111640
PA9,R,146675
PA9,D,98232
PA10,R,148790
PA10,D,140956
PA11,R,162227
PA11,D,112605
PA12,R,159251
PA12,D,81390
PA13,R,175046
PA13,D,73494
PA14,R,149147
PA14,D,108179
PA15,R,161990
PA15,D,76502
PA16,R,130580
PA16,D,119412
PA17,D,176293
PA17,R,137906
PA18,,
RI1,D,114604
RI1,R,57115
RI2,D,125090
RI2,R,71716
SC1,D,144828
SC1,R,140792
SC2,R,141577
SC2,D,104272
SC3,R,152417
SC3,D,69662
SC4,R,144990
SC4,D,88849
SC5,R,140417
SC5,D,102167
SC6,D,139006
SC6,R,56377
SC7,R,140938
SC7,D,95438
SDAL,R,202673
SDAL,D,121002
TN1,R,172708
TN1,D,47087
TN2,R,171994
TN2,D,86635
TN3,R,156385
TN3,D,84632
TN4,R,147196
TN4,D,77955
TN5,D,177661
TN5,R,84196
TN6,R,172682
TN6,D,70298
TN7,R,169769
TN7,D,81574
TN8,R,166400
TN8,D,74126
TN9,D,143690
TN9,R,34710
TX1,R,167734
TX1,D,60957
TX2,R,138502
TX2,D,118570
TX3,R,168775
TX3,D,137547
TX4,R,188003
TX4,D,57209
TX5,R,130404
TX5,D,78394
TX6,R,135779
TX6,D,116040
TX7,D,126168
TX7,R,114859
TX8,R,198241
TX8,D,67027
TX9,D,135427
TX9,,16643
TX10,R,154652
TX10,D,142511
TX11,R,174749
TX11,D,40028
TX12,R,172205
TX12,D,90676
TX13,R,162317
TX13,D,33956
TX14,R,137582
TX14,D,90937
TX15,D,97991
TX15,R,62867
TX16,D,122676
TX16,R,48495
TX17,R,130751
TX17,D,96655
TX18,D,137567
TX18,R,38081
TX19,R,152012
TX19,D,49941
TX20,D,138249
TX20,L,32727
TX21,R,176913
TX21,D,167020
TX22,R,152318
TX22,D,137500
